TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,CustomerAgeGroup,Target
215.9,1,20,0,38.0,0,235.0,1.0,7873.28,Middle-aged,2
444.89,0,19,1,43.0,0,101.0,1.0,10328.23,Middle-aged,2
280.57,0,41,2,25.0,3,24.0,1.0,293.2399999999998,Young,1
3.299999999999983,0,20,1,50.0,0,131.0,1.0,11385.37,Middle-aged,2
20.359999999999985,1,40,1,62.0,2,75.0,1.0,2762.48,Senior,1
493.11,1,7,1,53.0,2,236.0,1.0,7432.99,Middle-aged,0
307.41,1,20,0,19.0,3,14.0,1.0,1057.0000000000005,Young,2
11.180000000000007,1,1,2,43.0,0,161.0,1.0,5956.89,Middle-aged,0
313.82,1,40,1,59.0,1,151.0,1.0,7261.59,Senior,1
288.04,1,10,0,68.0,2,63.0,1.0,1748.02,Senior,0
800.55,1,28,0,31.0,1,108.0,1.0,9660.22,Young,1
485.54,1,15,0,46.0,1,143.0,1.0,6371.51,Middle-aged,2
521.15,1,18,0,54.0,0,214.0,1.0,9442.47,Middle-aged,2
304.93,1,32,0,65.0,0,158.0,1.0,13531.219999999998,Senior,1
694.2,1,25,0,61.0,2,72.0,1.0,1389.37,Senior,2
116.86000000000001,1,21,0,55.0,1,171.0,1.0,6706.56,Middle-aged,2
74.88,1,1,0,25.0,3,202.0,1.0,420.6700000000001,Young,0
890.24,0,19,2,33.0,1,161.0,1.0,5140.93,Middle-aged,2
361.27,1,29,0,63.0,0,180.0,1.0,7945.57,Senior,1
131.56,1,5,1,44.0,0,42.0,1.0,5873.54,Middle-aged,0
485.51,0,25,2,76.0,2,37.0,1.0,3074.45,Senior,2
547.87,1,8,0,64.0,2,131.0,1.0,6155.76,Senior,0
457.3,1,41,2,28.0,1,15.0,1.0,8318.29,Young,1
506.24,1,6,0,58.0,1,64.0,1.0,230.09000000000015,Senior,0
486.59,1,16,1,57.0,2,119.0,1.0,2513.56,Senior,2
163.68,1,36,1,41.0,0,292.0,1.0,10090.05,Middle-aged,1
581.65,1,4,0,21.999999999999996,3,176.0,1.0,480.1899999999996,Young,0
523.74,1,28,0,43.0,0,159.0,1.0,13498.55,Middle-aged,1
91.48000000000002,1,13,0,51.0,0,141.0,1.0,14942.779999999999,Middle-aged,2
5.249999999999972,1,38,0,39.0,0,49.0,1.0,14143.32,Middle-aged,1
54.03,0,25,0,56.0,2,161.0,1.0,6736.3,Senior,2
736.73,1,22,1,48.0,1,10.0,1.0,3313.07,Middle-aged,2
33.06,0,13,2,53.0,2,170.0,1.0,1540.87,Middle-aged,2
66.5,0,21,2,32.0,1,144.0,1.0,6820.23,Young,2
588.54,1,32,1,32.0,1,130.0,1.0,714.4499999999998,Young,1
173.5,1,26,0,21.0,3,282.0,1.0,1306.9099999999999,Young,2
78.32999999999998,0,22,2,56.0,1,189.0,1.0,7255.33,Senior,2
40.66,1,21,1,59.0,2,156.0,1.0,1153.8400000000006,Senior,2
97.22,0,1,1,77.0,2,55.0,1.0,6647.73,Senior,0
34.06999999999999,1,30,1,21.999999999999996,3,81.0,1.0,8709.77,Young,1
492.05999999999995,1,14,2,23.0,3,74.0,1.0,857.8999999999996,Young,2
842.01,0,41,2,53.0,0,185.0,1.0,509.4499999999998,Middle-aged,1
73.55000000000001,1,1,0,51.0,1,158.0,1.0,2812.06,Middle-aged,0
760.53,1,31,2,57.0,1,118.0,1.0,6179.91,Senior,1
371.69,1,37,1,67.0,2,143.0,1.0,3484.32,Senior,1
218.96,1,39,0,18.0,3,13.0,1.0,754.21,Young,1
227.39,1,1,2,18.0,3,65.0,1.0,751.0900000000001,Young,0
237.99,0,18,1,39.0,0,86.0,1.0,8510.09,Middle-aged,2
341.15,1,38,2,18.0,3,148.0,1.0,511.3699999999999,Young,1
434.58,1,22,0,59.0,0,215.0,1.0,12648.32,Senior,2
312.88,0,32,1,54.0,1,44.0,1.0,233.21000000000004,Middle-aged,1
75.15,1,4,0,23.0,3,154.0,1.0,1092.9200000000005,Young,0
23.30000000000001,1,20,0,59.0,1,161.0,1.0,6711.15,Senior,2
47.379999999999995,0,39,2,25.0,3,61.0,1.0,459.3699999999999,Young,1
488.15,1,21,1,43.0,1,168.0,1.0,7071.09,Middle-aged,2
12.819999999999993,1,13,0,44.0,1,156.0,1.0,9045.19,Middle-aged,2
535.91,1,19,2,43.0,1,22.0,1.0,9642.12,Middle-aged,2
270.72,0,42,2,26.0,1,53.0,1.0,6263.96,Young,1
97.98000000000002,1,10,1,72.0,2,17.999999999999986,1.0,7460.33,Senior,0
196.08,1,37,2,61.0,2,98.0,1.0,4233.82,Senior,1
251.18,1,38,0,42.0,1,246.0,1.0,8303.9,Middle-aged,1
44.52000000000001,1,12,2,28.0,3,205.0,1.0,314.27999999999975,Young,0
178.87,1,3,2,35.0,0,180.0,1.0,5241.23,Middle-aged,0
386.68,1,27,1,46.0,0,128.0,1.0,6863.06,Middle-aged,2
167.14,1,10,2,76.0,2,20.0,1.0,3877.73,Senior,0
345.22,1,14,1,69.0,2,253.0,1.0,4046.58,Senior,2
74.85,1,33,0,72.0,2,117.0,1.0,2409.73,Senior,1
671.73,1,42,1,58.0,1,54.0,1.0,5211.88,Senior,1
255.04,1,39,0,45.0,1,152.0,1.0,6217.86,Middle-aged,1
45.77000000000001,1,30,2,25.0,3,109.0,1.0,5978.12,Young,1
329.69,0,35,2,26.0,3,66.0,1.0,1671.6599999999999,Young,1
47.420000000000016,1,36,0,64.0,0,28.0,1.0,8253.52,Senior,1
35.99000000000001,1,24,1,63.0,2,129.0,1.0,4489.79,Senior,2
151.19,0,27,1,37.0,0,96.0,1.0,11903.82,Middle-aged,2
242.62,0,37,2,21.999999999999996,3,234.0,1.0,483.0199999999995,Young,1
48.72,1,41,1,21.0,3,17.0,1.0,816.0799999999999,Young,1
43.46000000000001,1,4,0,25.0,3,80.0,1.0,578.0600000000004,Young,0
443.79,1,19,0,53.0,2,87.0,1.0,3133.85,Middle-aged,2
365.14,1,9,2,68.0,2,57.0,1.0,5894.09,Senior,0
757.41,1,20,0,21.999999999999996,3,37.0,1.0,9532.42,Young,2
20.539999999999992,1,13,1,51.0,1,72.0,1.0,5327.03,Middle-aged,2
475.36,1,31,0,34.0,1,105.0,1.0,2000.6,Middle-aged,1
34.74000000000001,1,37,0,56.0,2,24.0,1.0,6827.57,Senior,1
211.18,1,42,0,73.0,2,90.0,1.0,4069.17,Senior,1
211.36,0,13,1,51.0,1,286.0,1.0,7943.47,Middle-aged,2
744.41,0,15,2,39.0,1,107.0,1.0,8842.47,Middle-aged,2
61.43000000000001,1,31,2,24.0,3,170.0,1.0,1882.77,Young,1
167.44,1,23,1,37.0,0,82.0,1.0,12526.71,Middle-aged,2
361.46,1,26,2,21.0,3,83.0,1.0,4737.84,Young,2
378.85,1,41,1,78.0,2,126.0,1.0,2300.53,Senior,1
241.11,1,8,1,30.0,0,55.0,1.0,12385.05,Young,0
131.93,0,13,1,31.0,1,13.0,1.0,4547.06,Young,2
485.54,1,21,2,19.0,3,148.0,1.0,1533.3199999999997,Young,2
321.15,1,20,1,46.0,0,179.0,1.0,7005.05,Middle-aged,2
711.3,1,38,1,21.0,3,51.0,1.0,955.3999999999996,Young,1
12.22999999999999,1,15,0,42.0,1,139.0,1.0,7844.88,Middle-aged,2
350.94,1,7,0,20.0,3,64.0,1.0,221.5600000000004,Young,0
301.85,1,8,2,54.0,1,25.0,1.0,6586.19,Middle-aged,0
29.340000000000003,1,21,2,65.0,2,30.0,1.0,3944.82,Senior,2
231.71,1,33,1,27.0,3,148.0,1.0,1127.9799999999996,Young,1
179.43,1,28,0,58.0,2,244.0,1.0,2626.63,Senior,1
36.71000000000001,1,17,1,48.0,0,55.0,1.0,6459.38,Middle-aged,2
138.12,0,20,1,53.0,0,281.0,1.0,1649.69,Middle-aged,2
233.24,1,21,0,33.0,1,72.0,1.0,6939.23,Middle-aged,2
436.64,1,20,1,31.0,0,111.0,1.0,14365.18,Young,2
870.4300000000001,1,20,1,29.0,0,55.0,1.0,10115.18,Young,2
354.4,1,6,0,74.0,2,128.0,1.0,7358.65,Senior,0
22.629999999999995,1,18,2,53.0,1,112.0,1.0,4438.03,Middle-aged,2
182.19,1,23,1,26.0,3,53.0,1.0,1176.0999999999995,Young,2
126.81,1,30,1,26.0,1,290.0,1.0,5427.98,Young,1
288.17,1,41,2,37.0,1,50.0,1.0,3653.11,Middle-aged,1
118.76999999999998,1,1,1,55.0,1,123.0,1.0,2104.82,Middle-aged,0
651.82,1,16,0,21.0,3,166.0,1.0,1802.77,Young,2
66.65,1,11,0,37.0,1,33.0,1.0,3559.96,Middle-aged,0
98.53,1,10,1,69.0,2,166.0,1.0,3564.8,Senior,0
138.95,1,42,2,71.0,2,30.0,1.0,6752.92,Senior,1
33.890000000000015,1,26,1,26.0,3,177.0,1.0,1444.75,Young,2
23.710000000000008,1,1,1,58.0,0,164.0,1.0,10788.89,Senior,0
26.06000000000003,1,36,0,65.0,0,283.0,1.0,12893.63,Senior,1
17.069999999999993,1,20,1,27.0,1,44.0,1.0,2798.15,Young,2
703.8899999999999,1,35,2,46.0,1,62.0,1.0,3583.67,Middle-aged,1
26.549999999999983,1,15,0,77.0,2,228.0,1.0,3085.38,Senior,2
147.4,1,38,1,42.0,1,259.0,1.0,6797.71,Middle-aged,1
202.11,1,22,0,27.0,3,17.999999999999986,1.0,746.4700000000003,Young,2
308.42,1,26,1,75.0,2,39.0,1.0,5427.81,Senior,2
11.180000000000007,1,24,0,53.0,1,144.0,1.0,7467.3,Middle-aged,2
294.15,1,14,2,38.0,1,136.0,1.0,6362.16,Middle-aged,2
139.45,1,4,2,27.0,3,31.0,1.0,1305.7600000000002,Young,0
432.63,1,7,0,29.0,0,137.0,1.0,13648.36,Young,0
131.43,1,5,2,43.0,0,65.0,1.0,1337.5,Middle-aged,0
516.72,1,23,0,42.0,1,128.0,1.0,2015.69,Middle-aged,2
374.5,0,37,1,26.0,3,178.0,1.0,1671.5100000000002,Young,1
166.13,1,29,0,68.0,0,227.0,1.0,11822.53,Senior,1
626.9,1,6,0,23.0,3,146.0,1.0,587.1099999999997,Young,0
466.85,1,2,1,56.0,2,165.0,1.0,5422.53,Senior,0
788.8400000000001,1,31,2,58.0,2,231.0,1.0,1913.73,Senior,1
525.28,1,7,0,69.0,2,134.0,1.0,4693.6,Senior,0
632.69,1,10,0,80.0,2,76.0,1.0,4363.74,Senior,0
124.35,1,28,0,72.0,2,90.0,1.0,3319.76,Senior,1
43.849999999999994,1,14,0,62.0,2,122.0,1.0,4356.98,Senior,2
283.81,1,36,1,28.0,3,29.000000000000014,1.0,1519.35,Young,1
168.53,1,37,0,71.0,2,112.0,1.0,5962.58,Senior,1
218.59,0,10,1,40.0,1,123.0,1.0,6699.23,Middle-aged,0
132.84000000000003,1,28,0,21.0,3,143.0,1.0,822.7300000000005,Young,1
157.37,0,9,1,42.0,0,289.0,1.0,13964.309999999998,Middle-aged,0
144.76999999999998,1,0,2,20.0,3,159.0,1.0,867.3199999999997,Young,0
643.22,1,1,0,64.0,0,93.0,1.0,1035.8599999999992,Senior,0
208.07,1,28,2,32.0,0,36.0,1.0,8478.9,Young,1
295.5,1,23,0,59.0,2,36.0,1.0,6280.66,Senior,2
30.22999999999999,1,2,0,44.0,0,99.0,1.0,481.1300000000001,Middle-aged,0
180.24,1,31,1,58.0,1,144.0,1.0,8431.23,Senior,1
13.710000000000036,0,10,2,38.0,1,148.0,1.0,8342.79,Middle-aged,0
96.54000000000002,1,27,1,58.0,2,95.0,1.0,7182.22,Senior,2
101.04000000000002,1,35,0,27.0,3,160.0,1.0,1695.5699999999997,Young,1
39.66,1,41,1,52.0,1,169.0,1.0,8497.34,Middle-aged,1
99.36000000000001,1,39,0,40.0,0,46.0,1.0,1272.12,Middle-aged,1
123.85,1,19,2,56.0,1,244.0,1.0,3959.62,Senior,2
426.93,1,29,0,19.0,3,248.0,1.0,476.1899999999996,Young,1
133.73,0,38,2,25.0,3,123.0,1.0,1872.2200000000003,Young,1
222.39,1,41,2,49.0,1,73.0,1.0,3117.3900000000003,Middle-aged,1
215.94,0,41,2,21.999999999999996,3,140.0,1.0,1841.69,Young,1
131.46,1,5,1,67.0,2,258.0,1.0,6642.33,Senior,0
202.86,0,22,1,61.0,0,149.0,1.0,7642.25,Senior,2
268.39,1,24,0,26.0,3,171.0,1.0,136.73999999999978,Young,2
353.82,1,25,0,42.0,0,143.0,1.0,705.75,Middle-aged,2
364.42,1,7,0,51.0,1,146.0,1.0,8119.73,Middle-aged,0
195.12,1,21,0,46.0,0,144.0,1.0,6101.15,Middle-aged,2
230.61,1,33,1,80.0,2,204.0,1.0,2561.42,Senior,1
739.28,0,40,1,58.0,0,47.0,1.0,11905.64,Senior,1
390.35,0,29,0,64.0,0,61.0,1.0,7095.88,Senior,1
242.03,1,9,2,58.0,1,124.0,1.0,4382.73,Senior,0
242.39,0,35,0,18.0,3,271.0,1.0,1328.73,Young,1
135.02999999999997,1,37,0,23.0,3,180.0,1.0,1278.0,Young,1
193.54,1,28,1,80.0,2,267.00000000000006,1.0,2929.51,Senior,1
775.23,0,0,2,59.0,0,38.0,1.0,5977.59,Senior,0
266.57,1,12,0,72.0,2,100.0,1.0,7676.92,Senior,0
153.4,1,23,0,45.0,1,144.0,1.0,4657.7,Middle-aged,2
5.120000000000033,1,27,1,34.0,1,90.0,1.0,3293.01,Middle-aged,2
119.11000000000001,1,11,0,57.0,1,131.0,1.0,7998.25,Senior,0
119.72,1,40,1,30.0,1,123.0,1.0,3435.34,Young,1
107.4,1,41,2,58.0,0,32.0,1.0,344.0699999999997,Senior,1
115.92000000000002,1,33,0,53.0,2,57.0,1.0,3897.17,Middle-aged,1
438.04,1,30,0,67.0,2,247.0,1.0,5358.95,Senior,1
677.29,1,15,2,27.0,1,287.0,1.0,627.79,Young,2
296.0,1,19,1,35.0,0,248.0,1.0,7418.82,Middle-aged,2
299.09,0,4,1,36.0,1,84.0,1.0,5615.26,Middle-aged,0
461.52,0,10,1,24.0,3,44.0,1.0,1995.1800000000003,Young,0
100.51999999999998,1,19,0,50.0,1,110.0,1.0,453.3900000000003,Middle-aged,2
85.35,1,42,0,66.0,2,166.0,1.0,2173.76,Senior,1
79.75999999999999,1,33,1,39.0,1,170.0,1.0,6452.14,Middle-aged,1
778.49,0,29,2,75.0,2,107.0,1.0,7713.67,Senior,1
386.38,1,31,2,42.0,1,135.0,1.0,5528.36,Middle-aged,1
14.289999999999964,1,20,0,34.0,1,150.0,1.0,7016.99,Middle-aged,2
232.79,0,16,1,55.0,2,145.0,1.0,2661.3,Middle-aged,2
293.97,1,31,1,68.0,2,153.0,1.0,7371.85,Senior,1
136.32,1,24,2,19.0,3,113.0,1.0,264.8299999999999,Young,2
251.06,1,7,2,36.0,0,34.0,1.0,10001.66,Middle-aged,0
50.170000000000016,0,34,0,77.0,2,35.0,1.0,7752.14,Senior,1
21.400000000000006,1,14,1,34.0,1,258.0,1.0,9594.11,Middle-aged,2
73.28,1,4,1,21.0,3,21.0,1.0,1329.4099999999999,Young,0
70.23000000000002,1,22,0,38.0,0,260.0,1.0,11624.93,Middle-aged,2
689.29,1,12,0,21.999999999999996,3,100.0,1.0,168.84000000000015,Young,0
745.03,1,13,2,28.0,3,231.0,1.0,160.5699999999997,Young,2
54.610000000000014,1,25,0,58.0,1,160.0,1.0,7135.64,Senior,2
54.05000000000001,1,21,1,27.0,3,146.0,1.0,469.1400000000003,Young,2
107.47,1,2,2,67.0,2,144.0,1.0,7517.5,Senior,0
219.63,1,5,0,48.0,0,44.0,1.0,8013.63,Middle-aged,0
93.51999999999998,1,30,2,51.0,1,97.0,1.0,2791.2,Middle-aged,1
275.92,0,26,1,62.0,2,107.0,1.0,1777.38,Senior,2
376.79,1,25,1,68.0,2,265.0,1.0,7749.14,Senior,2
697.32,1,1,2,68.0,2,91.0,1.0,2016.02,Senior,0
442.74,1,36,1,23.0,3,136.0,1.0,1790.27,Young,1
623.9,1,38,0,27.0,3,249.0,1.0,711.4700000000003,Young,1
63.41,1,13,0,26.0,3,36.0,1.0,1546.2200000000003,Young,2
346.85,1,18,0,44.0,0,88.0,1.0,7208.15,Middle-aged,2
7.5,1,9,2,63.0,2,36.0,1.0,6485.78,Senior,0
